aba: 阿爸
lingrenmanyi: 令人满意
lingrennanwang: 令人难忘
lingrenshensi: 令人深思
lingrenxinfu: 令人信服
lingxingjinzhi: 令行禁止
lingxinganpai: 另行安排
lingxingtongzhi: 另行通知
lingyanxiangkan: 另眼相看
lingyifangmian: 另一方面
liuzhidaji: 溜之大吉
liudonghongqi: 流动红旗
liudongjijin: 流动基金
liudongrenkou: 流动人口
liudongzijin: 流动资金
liufangbaishi: 流芳百世
liulishisuo: 流离失所
liulianwangfan: 流连忘返
liushuizuoye: 流水作业
liutilixue: 流体力学
liutonglingyu: 流通领域
liutongqudao: 流通渠道
liutongshouduan: 流通手段
liuxieshijian: 流血事件
liuyanfeiyu: 流言蜚语
liuyuxingshi: 流于形式
liuyouyudi: 留有余地
liuhuaranliao: 硫化染料
liusuanyatie: 硫酸亚铁
liuanhuaming: 柳暗花明
liushiniandai: 六十年代
longfeifengwu: 龙飞凤舞
longzhongkaimu: 隆重开幕
longzhongqingzhu: 隆重庆祝
longzhongtuichu: 隆重推出
longduanziben: 垄断资本
longduanzuzhi: 垄断组织
loutangguansuo: 楼堂馆所
loudongbaichu: 漏洞百出
lusufengcan: 露宿风餐
lutianmeikuang: 露天煤矿
luhuochunqing: 炉火纯青
luyincidai: 录音磁带
luluwuwei: 碌碌无为
lubushiyi: 路不拾遗
luduandianya: 路端电压
lutuyaoyuan: 路途遥远
luxiandouzheng: 路线斗争
luxianfangzhen: 路线方针
lvkelieche: 旅客列车
lvyouchengshi: 旅游城市
lvyoufuwu: 旅游服务
lvyouhuodong: 旅游活动
lvyoushengdi: 旅游胜地
lvyoushiye: 旅游事业
lvyouziyuan: 旅游资源
lvjianbuxian: 屡见不鲜
lvjianqigong: 屡建奇功
lvjiaobugai: 屡教不改
lvjinbuzhi: 屡禁不止
lvzhanlvsheng: 屡战屡胜
lvxinghetong: 履行合同
lvxingnuoyan: 履行诺言
lvxingyiwu: 履行义务
lvhuazuguo: 绿化祖国
lvdingxiangjiao: 氯丁橡胶
luanshengxiongdi: 孪生兄弟
luanjiaganshe: 乱加干涉
luankanlanfa: 乱砍滥伐
luankoumaozi: 乱扣帽子
luanqibazao: 乱七八糟
luanzhangengdi: 乱占耕地
luanzuoyituan: 乱作一团
lvejianyiban: 略见一斑
lveshengyichou: 略胜一筹
lvezhiyier: 略知一二
lunqinshexian: 伦琴射线
lungongxingshang: 论功行赏
lunzipaibei: 论资排辈
luodexiya: 罗得西亚
luomaniya: 罗马尼亚
luojidianlu: 逻辑电路
luojisheji: 逻辑设计
luojisiwei: 逻辑思维
luojituili: 逻辑推理
luoguxuantian: 锣鼓喧天
luowengangjin: 螺纹钢筋
luoxuanmeisu: 螺旋霉素
luozizhiwu: 裸子植物
luoyibujue: 络绎不绝
luodaoshichu: 落到实处
luohoudiqu: 落后地区
luohouzhuangkuang: 落后状况
luohualiushui: 落花流水
luojingxiashi: 落井下石
luoluodafang: 落落大方
luorufawang: 落入法网
luoshidaohu: 落实到户
luoshidaoren: 落实到人
luoshizhengce: 落实政策
mabidayi: 麻痹大意
mamuburen: 麻木不仁
mabutingti: 马不停蹄
madaochenggong: 马到成功
malaixiya: 马来西亚
maliezhuyi: 马列主义
maliezhuzuo: 马列著作
mamahuhu: 马马虎虎
matinijiu: 马提尼酒
maitougongzuo: 埋头工作
maitoukugan: 埋头苦干
maifangshichang: 买方市场、卖方市场
maikongmaikong: 买空卖空
maiguoqiurong: 卖国求荣
maichongdianliu: 脉冲电流
manbujiangli: 蛮不讲理
manhengwuli: 蛮横无理
manbuzaihu: 满不在乎
manchengfengyu: 满城风雨
mandamansuan: 满打满算
manhuaixinxin: 满怀信心
manmianchunfeng: 满面春风
manqiangreqing: 满腔热情
manshanbianye: 满山遍野、漫山遍野
manyuanchunse: 满园春色
manzaiergui: 满载而归
manzuyaoqiu: 满足要求
manbujingxin: 漫不经心
manchangsuiyue: 漫长岁月
manwubianji: 漫无边际
mangbuguolai: 忙不过来
manglitouxian: 忙里偷闲
mangmanglulu: 忙忙碌碌
mangmufazhan: 盲目发展
mangmuleguan: 盲目乐观
mangmushengchan: 盲目生产
maofangzhichang: 毛纺织厂
maosuizijian: 毛遂自荐
maodunjihua: 矛盾激化
maodunjiaju: 矛盾加剧
maosaidunkai: 茅塞顿开
maomingdingti: 冒名顶替
maoyichizi: 贸易赤字
maoyigongsi: 贸易公司
maoyiguanxi: 贸易关系
maoyinicha: 贸易逆差
maoyishichang: 贸易市场
maoyishuncha: 贸易顺差
maoyitanpan: 贸易谈判
maoyiwanglai: 贸易往来
maoyixieding: 贸易协定
maoyizhongxin: 贸易中心
maoyizonge: 贸易总额
maoheshenli: 貌合神离
meijingdacai: 没精打采、没精打彩
meishizhaoshi: 没事找事
meiyoubiyao: 没有必要
meiyoufasheng: 没有发生
meiyoujiejue: 没有解决
meiyoujingyan: 没有经验
meiyoushenme: 没有什么
meiyouxiangdao: 没有想到
meiyouyiyi: 没有意义
meifeisewu: 眉飞色舞
meikaiyanxiao: 眉开眼笑
meiqingmuxiu: 眉清目秀
meitangongye: 煤炭工业
meikuangyuxia: 每况愈下
meirenmeinian: 每人每年
meirenmeitian: 每人每天
meishimeike: 每时每刻
meibushengshou: 美不胜收
meiguandafang: 美观大方
meiguoguohui: 美国国会
meiguozongtong: 美国总统
meihaoshenghuo: 美好生活
meijihuaren: 美籍华人
meizhongbuzu: 美中不足
meizhongguanxi: 美中关系
menhuzhijian: 门户之见
mentingruoshi: 门庭若市
menghunguoguan: 蒙混过关
mengzaiguli: 蒙在鼓里
mengmeiyiqiu: 梦寐以求
mihuobujie: 迷惑不解
mituzhifan: 迷途知返
mixinhuodong: 迷信活动
mierbuxuan: 秘而不宣、密而不宣
mimihuiyi: 秘密会议
mimizuzhi: 秘密组织
mibukefen: 密不可分
mimimama: 密密麻麻
miqieguanxi: 密切关系
miqiehezuo: 密切合作
miqielianxi: 密切联系
miqiepei: 密切配
miqiexiangguan: 密切相关
miqiexiezuo: 密切协作
mianfangzhichang: 棉纺织厂
mianyikangti: 免疫抗体
mianmianqiangqiang: 勉勉强强
mianweiqinan: 勉为其难
mianbugaise: 面不改色
mianduixianshi: 面对现实
mianhongerchi: 面红耳赤
mianmaoyixin: 面貌一新
mianmianjudao: 面面俱到
mianmianxiangqu: 面面相觑
mianmuquanfei: 面目全非
mianmuyixin: 面目一新
mianshoujiyi: 面授机宜
mianxiangquanguo: 面向全国
mianxiangshehui: 面向社会
mianxiangshijie: 面向世界
mianxiangshichang: 面向市场
miaoquhengsheng: 妙趣横生
miaoshouhuichun: 妙手回春
miedingzhizai: 灭顶之灾
miejuerenxing: 灭绝人性
minbangongzhu: 民办公助
minbankeji: 民办科技
minbuliaosheng: 民不聊生
minjiangongyi: 民间工艺
minjianwenyi: 民间文艺
minjianwudao: 民间舞蹈
minjianyiren: 民间艺人
minjianyishu: 民间艺术
minjianzuzhi: 民间组织
minmengzhongyang: 民盟中央
minshianjian: 民事案件
minshijiufen: 民事纠纷
minshisusong: 民事诉讼
minyiceyan: 民意测验
minyidiaocha: 民意调查
minyongchanpin: 民用产品
minyongfeiji: 民用飞机
minyonggongye: 民用工业
minyonghangkong: 民用航空
minyongjianzhu: 民用建筑
minzhudangpai: 民主党派
minzhugaige: 民主改革
minzhugeming: 民主革命
minzhuguanli: 民主管理
minzhujizhong: 民主集中
minzhujiandu: 民主监督
minzhujianshe: 民主建设
minzhupingyi: 民主评议
minzhuquanli: 民主权利
minzhurenshi: 民主人士
minzhushenghuo: 民主生活
minzhuxieshang: 民主协商
minzhuxuanju: 民主选举
minzhuyundong: 民主运动
minzhuzhengzhi: 民主政治
minzhuzhidu: 民主制度
minzhuzhuyi: 民主主义
minzhuziyou: 民主自由
minzhuzuofeng: 民主作风
minzudiqu: 民族地区
minzuduli: 民族独立
minzufengge: 民族风格
minzufushi: 民族服饰
minzufuzhuang: 民族服装
minzugongye: 民族工业
minzuguanxi: 民族关系
minzuhejie: 民族和解
minzujiaoyu: 民族教育
minzujiefang: 民族解放
minzujingji: 民族经济
minzujingshen: 民族精神
minzujiufen: 民族纠纷
minzuliyi: 民族利益
minzumaodun: 民族矛盾
minzupingdeng: 民族平等
minzusuzhi: 民族素质
minzutedian: 民族特点
minzutese: 民族特色
minzutuanjie: 民族团结
minzuwenhua: 民族文化
minzuwenti: 民族问题
minzuyapo: 民族压迫
minzuyishu: 民族艺术
minzuyingxiong: 民族英雄
minzuzhengce: 民族政策
minzuzhuyi: 民族主义
minzuziben: 民族资本
minzuzijue: 民族自决
minzuzizhi: 民族自治
minzuzunyan: 民族尊严
mingbufushi: 名不副实
mingbuxuchuan: 名不虚传
mingchuiqingshi: 名垂青史
mingcunshiwang: 名存实亡
mingfuqishi: 名符其实、名副其实
minglishuangshou: 名利双收
mingliebangshou: 名列榜首
mingliediyi: 名列第一
minglieqianmao: 名列前茅
mingmufanduo: 名目繁多
mingpaichanpin: 名牌产品
mingshandachuan: 名山大川
mingshengdazhen: 名声大振
mingshengguji: 名胜古迹
mingyangsihai: 名扬四海
mingyangzhongwai: 名扬中外
mingyouchanpin: 名优产品
mingyuhuiyuan: 名誉会员
mingyuzhuxi: 名誉主席
mingzhenzhongwai: 名震中外
mingzhengyanshun: 名正言顺
mingbianshifei: 明辨是非
mingchaanfang: 明察暗访
minghuozhizhang: 明火执仗
mingmingbaibai: 明明白白
mingmuzhangdan: 明目张胆
mingqianganjian: 明枪暗箭
mingqueguiding: 明确规定
mingquetichu: 明确提出
mingquezhichu: 明确指出
mingwenguiding: 明文规定
mingxianbianhua: 明显变化
mingxianhaozhuan: 明显好转
mingxiantigao: 明显提高
mingxianzengjia: 明显增加
mingzhigufan: 明知故犯
mingsikuxiang: 冥思苦想
mingxinkegu: 铭心刻骨
mingmingdahui: 命名大会
mofanrenwu: 模范人物
mofanxingdong: 模范行动
mofanzuoyong: 模范作用
molengliangke: 模棱两可
momohuhu: 模模糊糊
mocaxishu: 摩擦系数
mocazuli: 摩擦阻力
mojianjiezhong: 摩肩接踵
moquancazhang: 摩拳擦掌、磨拳擦掌
motuoluola: 摩托罗拉
moerduowa: 莫尔多瓦
momingqimiao: 莫名其妙、莫明其妙
mosangbike: 莫桑比克
mozhongyishi: 莫衷一是
mobuguanxin: 漠不关心
moranzhizhi: 漠然置之
moshouchenggui: 墨守成规
mobuzuosheng: 默不作声
momowusheng: 默默无声
momowuwen: 默默无闻
mouqubaoli: 牟取暴利
mouqusili: 谋取私利
mouxiediqu: 某些地区
mouxiefangmian: 某些方面
mouyifangmian: 某一方面
mouzhongchengdu: 某种程度
mouzhongyiyi: 某种意义
mouzhongyuanyin: 某种原因
muyichengzhou: 木已成舟
mubiaoguanli: 目标管理
mubushiding: 目不识丁
mubuxiajie: 目不暇接
mubuzhuanjing: 目不转睛
mudeyiyi: 目的意义
mudengkoudai: 目瞪口呆
muguangduanqian: 目光短浅
mukongyiqie: 目空一切
muwufaji: 目无法纪
muzhongwuren: 目中无人
mulinguanxi: 睦邻关系
mulinyouhao: 睦邻友好
mulinzhengce: 睦邻政策
mumingerlai: 慕名而来
muhanmode: 穆罕默德
neibukanwu: 内部刊物
neibumaodun: 内部矛盾
neibushiwu: 内部事务
neicunchuqi: 内存储器
neifenmixian: 内分泌腺
neiheyunshu: 内河运输
neilianwaiyin: 内联外引
neiranjiche: 内燃机车
neirongjianjie: 内容简介
neirongtiyao: 内容提要
neiwaijiaokun: 内外交困
neiwaiyoubie: 内外有别
neixinshijie: 内心世界
neiyouwaihuan: 内忧外患
neizailianxi: 内在联系
nahuanyongshuo: 那还用说
najiushishuo: 那就是说
namibiya: 纳米比亚
naihuocailiao: 耐火材料
nairehejin: 耐热合金
nairezhutie: 耐热铸铁
nairenxunwei: 耐人寻味
nannannvnv: 男男女女
nannvlaoshao: 男女老少
nannvpingdeng: 男女平等
nanzunnvbei: 男尊女卑
nanhaizhudao: 南海诸岛
nanqiangbeidiao: 南腔北调
nansilafu: 南斯拉夫
nantaipingyang: 南太平洋
nanyuanbeizhe: 南辕北辙
nanzhengbeizhan: 南征北战
nanfennanjie: 难分难解
nanjienanfen: 难解难分
nannengkegui: 难能可贵
nanshenanfen: 难舍难分
nanyibimian: 难以避免
nanyidadao: 难以达到
nanyijiejue: 难以解决
nanyiwancheng: 难以完成
nanyixiangxiang: 难以想象
nanyizhixin: 难以置信
naoxiuchengnu: 恼羞成怒
naolilaodong: 脑力劳动
naodulixing: 闹独立性
nenggeshanwu: 能歌善舞
nenggongqiaojiang: 能工巧匠
nengliangdaixie: 能量代谢
nengqunengshen: 能屈能伸
nengshangnengxia: 能上能下
nengshuohuidao: 能说会道
nengwen: 能文
nengwu: 能武
nengyanshanbian: 能言善辩
nengyuangongye: 能源工业
nengyuangongying: 能源供应
nengyuanjianshe: 能源建设
nengzheduolao: 能者多劳
nengzheweishi: 能者为师
nijialagua: 尼加拉瓜
niriliya: 尼日利亚
niniuruhai: 泥牛入海
nishajuxia: 泥沙俱下
nizhengwoduo: 你争我夺
nizhuiwogan: 你追我赶
nierzhongyan: 逆耳忠言
nifanxinli: 逆反心理
nishuixingzhou: 逆水行舟
nianqingpazhong: 拈轻怕重
nianchannengli: 年产能力
niandubaogao: 年度报告
niandujihua: 年度计划
nianfuyinian: 年复一年
nianfuliqiang: 年富力强
nianguobanbai: 年过半百
nianjiushixiu: 年久失修
nianlaotiruo: 年老体弱
nianlingtezheng: 年龄特征
niannianruci: 年年如此
nianqingganbu: 年轻干部
nianqinglizhuang: 年轻力壮
nianqingyidai: 年轻一代
nianqingyouwei: 年轻有为
nianshiyigao: 年事已高
nianyuguxi: 年逾古稀
nianzengchanglv: 年增长率
nianzhongzongjie: 年终总结
niannianbuwang: 念念不忘
niaoyuhuaxiang: 鸟语花香
ningsibuqu: 宁死不屈
ningjifanying: 凝集反应
niukuiweiying: 扭亏为盈
niukuizengying: 扭亏增盈
niuzhuanjumian: 扭转局面
niuzhuangankun: 扭转乾坤
nongcungaige: 农村改革
nongcunganbu: 农村干部
nongcunjianshe: 农村建设
nongcunjinrong: 农村金融
nongcunjingji: 农村经济
nongcunzhengce: 农村政策
nongfuchanpin: 农副产品
nongjiafeiliao: 农家肥料
nongmaoshichang: 农贸市场
nongminjieji: 农民阶级
nongminqiyi: 农民起义
nongminribao: 农民日报
nongminzhanzheng: 农民战争
nongmuyuye: 农牧渔业
nongtianguangai: 农田灌溉
nongtianshuili: 农田水利
nongchuchanpin: 农畜产品
nongyebumen: 农业部门
nongyedaxue: 农业大学
nongyedaikuan: 农业贷款
nongyejixie: 农业机械
nongyejishu: 农业技术
nongyejingji: 农业经济
nongyekeji: 农业科技
nongyequhua: 农业区划
nongyerenkou: 农业人口
nongyeshengchan: 农业生产
nongyeyinxing: 农业银行
nongyeyongdi: 农业用地
nongyeyuanxiao: 农业院校
nongyezhengce: 农业政策
nongyongwuzi: 农用物资
nonghouxingqu: 浓厚兴趣
nongzhuangdanmo: 浓妆淡抹
nongjiachengzhen: 弄假成真
nongqiaochengzhuo: 弄巧成拙
nongxuzuojia: 弄虚作假
nulishehui: 奴隶社会
nuyanbixi: 奴颜婢膝
nulichuangzao: 努力创造
nulifendou: 努力奋斗
nulitigao: 努力提高
nuliwancheng: 努力完成
nulixuexi: 努力学习
nulizuodao: 努力做到
nufachongguan: 怒发冲冠
nvzhonghaojie: 女中豪杰
nuoweikelang: 挪威克郎
oumudinglv: 欧姆定律
ouyadalu: 欧亚大陆
ouzhouguojia: 欧洲国家
ouzhoulianmeng: 欧洲联盟
ouzhoumengjun: 欧洲盟军
ouxinlixie: 呕心沥血
paianjiaojue: 拍案叫绝
paishouchengkuai: 拍手称快
paishoujiaohao: 拍手叫好
paichiyiji: 排斥异己
paichuwannan: 排除万难
paichuyiji: 排除异己
paishandaohai: 排山倒海
paishuixitong: 排水系统
paiyoujienan: 排忧解难
paichujigou: 派出机构
panduannengli: 判断能力
panmingshifei: 判明是非
pangrandawu: 庞然大物
pangguanzheqing: 旁观者清
pangqiaoceji: 旁敲侧击
pangruowuren: 旁若无人
paotoulumian: 抛头露面
paozhuanyinyu: 抛砖引玉
paoxiaorulei: 咆哮如雷
paojianzhengce: 炮舰政策
paomaguanhua: 跑马观花
paomosuliao: 泡沫塑料
peixunjiaocai: 培训教材
peixunzhongxin: 培训中心
peiyangjiaoyu: 培养教育
peiyangmubiao: 培养目标
peiyangrencai: 培养人才
peichangsunshi: 赔偿损失
peilidaoqian: 赔礼道歉
peihemoqi: 配合默契
peitaogaige: 配套改革
peitaogongcheng: 配套工程
peitaojishu: 配套技术
pengbofazhan: 蓬勃发展
pengpengbobo: 蓬蓬勃勃
pengtougoumian: 蓬头垢面
penghuliedao: 澎湖列岛
pengfudaxiao: 捧腹大笑
pifajiage: 批发价格
pifashichang: 批发市场
piliangshengchan: 批量生产
pipingzhizheng: 批评指正
piganlidan: 披肝沥胆
pijingzhanji: 披荆斩棘
pishanglvzhuang: 披上绿装
pixingdaiyue: 披星戴月
pibozhanlang: 劈波斩浪
pibeibukan: 疲惫不堪
piyubenming: 疲于奔命
pijiujiaomu: 啤酒酵母
pifuyouze: 匹夫有责
pianmianqiangdiao: 片面强调
pianmianzhuiqiu: 片面追求
piantingpianxin: 偏听偏信
pianzhuanxianquan: 偏转线圈
piaoboyixiang: 漂泊异乡
piaopodayu: 瓢泼大雨
piaojudayin: 票据打印
pinbojingshen: 拼搏精神
pinyinzimu: 拼音字母
pinbingjiaojia: 贫病交加
pinkundiqu: 贫困地区
pinqiongluohou: 贫穷落后
pinxiazhongnong: 贫下中农
pintoulunzu: 品头论足
pinxuejianyou: 品学兼优
pinzhichaoqun: 品质超群
pingdengdairen: 平等待人
pingdenghuhui: 平等互惠
pingdenghuli: 平等互利
pingdengjingzheng: 平等竞争
pingdengquanli: 平等权利
pingfanggongli: 平方公里
pingfenqiuse: 平分秋色
pingjunfenpei: 平均分配
pingjungongzi: 平均工资
pingjunjiage: 平均价格
pingjunlirun: 平均利润
pingjunnianling: 平均年龄
pingjunqiwen: 平均气温
pingjunshouru: 平均收入
pingjunshouming: 平均寿命
pingjunshuiping: 平均水平
pingjunsudu: 平均速度
pingjunzhibiao: 平均指标
pingjunzhuyi: 平均主义
pingmianjihe: 平面几何
pingminbaixing: 平民百姓
pingpinganan: 平平安安
pingpingdandan: 平平淡淡
pingpingjingjing: 平平静静
pingpingwenwen: 平平稳稳
pingqipingzuo: 平起平坐
pingshichengji: 平时成绩
pingxinerlun: 平心而论
pingxinjingqi: 平心静气
pingxingzuoye: 平行作业
pingyijinren: 平易近人
pingzhengtudi: 平整土地
pingtoulunzu: 评头论足
pingtoupinzu: 评头品足
pingxuanhuodong: 评选活动
pingkongniezao: 凭空捏造
pingpiaogongying: 凭票供应
pofeizhouzhe: 颇费周折
poganxingqu: 颇感兴趣
poshouhuanying: 颇受欢迎
poyoutonggan: 颇有同感
pobudeyi: 迫不得已
pobujidai: 迫不及待、迫不急待
poqiexuyao: 迫切需要
poqieyaoqiu: 迫切要求
pozaimeijie: 迫在眉睫
pochumixin: 破除迷信
pofuchenzhou: 破釜沉舟
pohuaifenzi: 破坏分子
pohuaihuodong: 破坏活动
pojiubukan: 破旧不堪
pojiulixin: 破旧立新
popolanlan: 破破烂烂
potudonggong: 破土动工
pozhanbaichu: 破绽百出
pubierlai: 扑鼻而来
pumianerlai: 扑面而来
pushuomili: 扑朔迷离
pupingdaolu: 铺平道路
putiangaidi: 铺天盖地
puzhanglangfei: 铺张浪费
pushiwuhua: 朴实无华
pusudafang: 朴素大方
pubiancunzai: 普遍存在
pubianguilv: 普遍规律
pubianrenwei: 普遍认为
pu: 普
biantuiguang: 遍推广
pubiantuixing: 普遍推行
pubianyiyi: 普遍意义
pubianzhenli: 普遍真理
pufajiaoyu: 普法教育
pujijiaoyu: 普及教育
pujiangruixue: 普降瑞雪
pujiangxiyu: 普降喜雨
puputongtong: 普普通通
putiantongqing: 普天同庆
putongjiaoyu: 普通教育
qiguojituan: 七国集团
qilingbaluo: 七零八落
qipinbacou: 七拼八凑
qishangbaxia: 七上八下
qishiniandai: 七十年代
qishoubajiao: 七手八脚
qiwujihua: 七五计划
qiwuqijian: 七五期间
qizhebakou: 七折八扣
qizhongquanhui: 七中全会
qierlaoxiao: 妻儿老小
qilizisan: 妻离子散
qihuoshichang: 期货市场
qimokaoshi: 期末考试
qizhongkaoshi: 期中考试
qirentaishen: 欺人太甚
qirenzhitan: 欺人之谈
qiruanpaying: 欺软怕硬
qishangmanxia: 欺上瞒下
qishangyaxia: 欺上压下
qiheiyituan: 漆黑一团
qiqihaer: 齐齐哈尔
qitoubingjin: 齐头并进
qixinxieli: 齐心协力
qizhuagongguan: 齐抓共管
qilewuqiong: 其乐无穷
qishiburan: 其实不然
qizhongzhiyi: 其中之一
qijibandi: 奇迹般地
qitanguailun: 奇谈怪论
qixingguaizhuang: 奇形怪状
qizhenyibao: 奇珍异宝
qizhuangyifu: 奇装异服
qihunanxia: 骑虎难下
qifengduishou: 棋逢对手
qiguxiangdang: 旗鼓相当
qikaidesheng: 旗开得胜
qizhixianming: 旗帜鲜明
qiyechengbao: 企业承包
qiyeguanli: 企业管理
qiyejituan: 企业集团
qiyeshiye: 企业事业
qiyoucili: 岂有此理
qidongshichang: 启动市场
qirenyoutian: 杞人忧天
qidongzhuanju: 起动转矩
qisihuisheng: 起死回生
qizaomohei: 起早摸黑
qizaotanhei: 起早贪黑
qidubufan: 气度不凡
qiguanchanghong: 气贯长虹
qihoubianhua: 气候变化
qihouyichang: 气候异常
qijibaihuai: 气急败坏
qishibangbo: 气势磅礴
qishixiongxiong: 气势汹汹
qitiranliao: 气体燃料
qixiangwanqian: 气象万千
qiyanxiaozhang: 气焰嚣张
qizhuangshanhe: 气壮山河
qijinweizhi: 迄今为止
qiantouming: 弃暗投明
qijiutuxin: 弃旧图新
qichegongsi: 汽车公司
qiguanyizhi: 器官移植
qiadaohaochu: 恰到好处
qiahaoxiangfan: 恰好相反
qiaqiaxiangfan: 恰恰相反
qiaruqifen: 恰如其分
qiazaicishi: 恰在此时
qianbainianlai: 千百年来
qianbianwanhua: 千变万化
qianchawanbie: 千差万别
qianchuibailian: 千锤百炼
qianfangbaiji: 千方百计
qianjiawanhu: 千家万户
qianjunwanma: 千军万马
qianjunyifa: 千钧一发
qianlizhixing: 千里之行
qianpianyilv: 千篇一律
qianqibaiguai: 千奇百怪
qianqianwanwan: 千千万万
qianqiudaye: 千秋大业
qianqiuwandai: 千秋万代
qiansiwanlv: 千丝万缕
qiantouwanxu: 千头万绪
qianxinwanku: 千辛万苦
qianzainanfeng: 千载难逢
qianzhenwanque: 千真万确
qianzibaitai: 千姿百态
qianqiangfuhui: 牵强附会
qianxiandaqiao: 牵线搭桥
qianxujinshen: 谦虚谨慎
qiandinghetong: 签订合同
qiandingqiyue: 签订契约
qianchekejian: 前车可鉴
qianchezhijian: 前车之鉴
qianduanshijian: 前段时间
qianfuhouji: 前赴后继
qiangongjinqi: 前功尽弃
qianhouzuoyou: 前后左右
qianjinhousong: 前紧后松
qianpuhouji: 前仆后继
qianqianhouhou: 前前后后
qianqinghouqian: 前清后欠
qiansihouxiang: 前思后想
qiansonghoujin: 前松后紧
qiansuoweiwen: 前所未闻
qiansuoweiyou: 前所未有
qiantuguangkuo: 前途广阔
qiantuwuliang: 前途无量
qianxieshihou: 前些时候
qianyinhouguo: 前因后果
qianyimohua: 潜移默化
qianzaililiang: 潜在力量
qianlvjiqiong: 黔驴技穷
qianxianyidong: 浅显易懂
qianshouzibu: 欠收自补
qianglindanyu: 枪林弹雨
qiangciduoli: 强词夺理
qiangdiaozhichu: 强调指出
qiangdujixian: 强度极限
qiangguofumin: 强国富民
qiangguozhilu: 强国之路
qiangjiayuren: 强加于人
qiangliekangyi: 强烈抗议
qiangquanzhengzhi: 强权政治
qiangrensuonan: 强人所难
qiangshourulin: 强手如林
qiangxingtanpai: 强行摊派
qiangyingtaidu: 强硬态度
qiangzhicuoshi: 强制措施
qiangzhizhixing: 强制执行
qiangliqiangwai: 墙里墙外
qiangjiuwuxiao: 抢救无效
qiangxianjiuzai: 抢险救灾
qiaozhalesuo: 敲诈勒索
qiaoduotiangong: 巧夺天工
qiaolimingmu: 巧立名目
qiaoquhaoduo: 巧取豪夺
qiaoyanlingse: 巧言令色
qiaoshouyidai: 翘首以待
qieheshiji: 切合实际
qieqieshishi: 切切实实
qieshenliyi: 切身利益
qieshijiaqiang: 切实加强
qieshikexing: 切实可行
qiezhongyaohai: 切中要害
qieerbushe: 锲而不舍
qinmiwujian: 亲密无间
qinpenghaoyou: 亲朋好友
qinqieyouhao: 亲切友好
qinruyijia: 亲如一家
qinzichuma: 亲自出马
qinlvekuozhang: 侵略扩张
qinlvezhanzheng: 侵略战争
qinchadachen: 钦差大臣
qingongjianxue: 勤工俭学
qingongzhuxue: 勤工助学
qinjianchijia: 勤俭持家
qinjianjianguo: 勤俭建国
qinjianjieyue: 勤俭节约
qinlaozhifu: 勤劳致富
qinqinkenken: 勤勤恳恳
qinxuekulian: 勤学苦练
qinrenfeifu: 沁人肺腑
qinrenxinpi: 沁人心脾
qingchunhuoli: 青春活力
qinghongzaobai: 青红皂白
qinghuangbujie: 青黄不接
qingnianganbu: 青年干部
qingniangongren: 青年工人
qingnianxuesheng: 青年学生
qingnianyidai: 青年一代
qingyunzhishang: 青云直上
qingzhusiliao: 青贮饲料
qingyanghuana: 氢氧化钠
qingyanghuawu: 氢氧化物
qingcheshulu: 轻车熟路
qingeryiju: 轻而易举
qingfangchanpin: 轻纺产品
qinggongchanpin: 轻工产品
qinggongyebu: 轻工业部
qingjuwangdong: 轻举妄动
qingmiaodanxie: 轻描淡写
qingmiaotanxie: 轻描谈写
qingnuoguaxin: 轻诺寡信
qingzhonghuanji: 轻重缓急
qingzhuangqianjin: 轻装前进
qingzhuangshangzhen: 轻装上阵
qingchaochudong: 倾巢出动
qingjiadangchan: 倾家荡产
qingpendayu: 倾盆大雨
qingchagongzuo: 清查工作
qingchuchudang: 清除出党
qingguijielv: 清规戒律
qinghuadaxue: 清华大学
qingjiweisheng: 清洁卫生
qingqingbaibai: 清清白白
qingqingchuchu: 清清楚楚
qingxiangxingjiu: 清香型酒
qingzhenglianji: 清正廉洁
qingbaofenxi: 情报分析
qingbaojiansuo: 情报检索
qingbaolaiyuan: 情报来源
qingbaozhongxin: 情报中心
qingbuzijin: 情不自禁
qingjieyanzhong: 情节严重
qingkuanghuibao: 情况汇报
qingtongshouzu: 情同手足
qingtouyihe: 情投意合
qingyoukeyuan: 情有可原
qingzhenyiqie: 情真意切
qingtianpili: 晴天霹雳
qingkezhijian: 顷刻之间
qingjunruweng: 请君入瓮
qingkesongli: 请客送礼
qingshibaogao: 请示报告
qingtiyijian: 请提意见
qiongtumolu: 穷途末路
qiongxiangpirang: 穷乡僻壤
qiongxiongjie: 穷凶极恶
qiongzesibian: 穷则思变
qiugaoqishuang: 秋高气爽
qiuhaowufan: 秋毫无犯
qiuhousuanzhang: 秋后算帐
qiuchengguoji: 求成过急
qiuquanzebei: 求全责备
qiushengxinqie: 求胜心切
qiutongcunyi: 求同存异
qiuzhibude: 求之不得
qiuzhiguoji: 求之过急
qiumianjihe: 球面几何
qiumozhutie: 球墨铸铁
qubieduidai: 区别对待
ququxiaoshi: 区区小事
quweishuji: 区委书记
quyuhezuo: 区域合作
quyujingji: 区域经济
ququwanwan: 曲曲弯弯
quxianyundong: 曲线运动
quzhikeshu: 屈指可数
quyanfushi: 趋炎附势
quchangbuduan: 取长补短
qudeshixiao: 取得实效
querdaizhi: 取而代之
quxinyumin: 取信于民
quyueyumin: 取悦于民
quzhibujin: 取之不尽
qucuqujing: 去粗取精
quniantongqi: 去年同期
